dataset,subject,question_id,model_type,stage,cache_name,layer_idx,entropy_raw,entropy_normalized,logit_lens_temperature,vocab_size,kl_prev_layer,kl_vector_align
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,5,nan,nan,1.0,0,1.3801212310791016,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,6,nan,nan,1.0,0,1.2022943496704102,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,7,nan,nan,1.0,0,0.9175693988800049,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,8,nan,nan,1.0,0,1.088178277015686,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,9,nan,nan,1.0,0,1.0266735553741455,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,10,nan,nan,1.0,0,1.1403862237930298,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,11,nan,nan,1.0,0,1.1640210151672363,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,12,nan,nan,1.0,0,0.9994611144065857,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,13,nan,nan,1.0,0,0.872786819934845,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,14,nan,nan,1.0,0,0.9808133244514465,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,15,nan,nan,1.0,0,0.9788928627967834,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,16,nan,nan,1.0,0,0.893886923789978,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,17,nan,nan,1.0,0,0.848080575466156,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,18,nan,nan,1.0,0,0.8079746961593628,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,19,nan,nan,1.0,0,0.8261280655860901,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,20,nan,nan,1.0,0,0.8191856741905212,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,21,nan,nan,1.0,0,0.792104959487915,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,22,nan,nan,1.0,0,0.8666056394577026,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,23,nan,nan,1.0,0,0.8687518239021301,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,24,nan,nan,1.0,0,0.7955871820449829,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,25,nan,nan,1.0,0,0.8241491913795471,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,26,nan,nan,1.0,0,0.8522818684577942,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,27,nan,nan,1.0,0,0.8346086144447327,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,28,nan,nan,1.0,0,0.8329811096191406,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,29,nan,nan,1.0,0,0.8633352518081665,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,30,nan,nan,1.0,0,0.8128030300140381,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,31,nan,nan,1.0,0,0.9179122447967529,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,32,nan,nan,1.0,0,0.9060649871826172,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,33,nan,nan,1.0,0,0.8840051293373108,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,34,nan,nan,1.0,0,0.8739558458328247,last
ai2-arc,SPLIT_0_OF_1,0,rosetta,prefill,fused,35,nan,nan,1.0,0,1.209699273109436,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,0,nan,nan,1.0,0,nan,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,1,nan,nan,1.0,0,2.105998992919922,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,2,nan,nan,1.0,0,1.1098589897155762,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,3,nan,nan,1.0,0,0.9970473647117615,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,4,nan,nan,1.0,0,1.347244143486023,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,5,nan,nan,1.0,0,1.358718991279602,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,6,nan,nan,1.0,0,1.2052576541900635,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,7,nan,nan,1.0,0,0.9105603098869324,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,8,nan,nan,1.0,0,1.0920841693878174,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,9,nan,nan,1.0,0,1.0361534357070923,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,10,nan,nan,1.0,0,1.1790425777435303,last
ai2-arc,SPLIT_0_OF_1,1,rosetta,prefill,receiver,11,nan,nan,1.0,0,1.2130062580108643,last
